Cust Jamaica: Table 1
	Start	End	In	Log	p	for	Note		Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			
32	mas 31	mas 32	10 to 14		"1,189"	530.873611111111	617.530555555556	33.8565972222222	0	7.15			2880	2880	2880	2880	2880	2880	2880	2880		28	502.873611111111	0	0	617.530555555556	7.15	33.8565972222222	0	0		0/0/0	336/0/0	0/0/0	5313/12/7	0/0/0	0/0/0	528/0/0	192/17/1	0/0/0	60/0/0	3608/1/3	25/16/0	0/0/0	0/0/0	0/0/0	0/0/0	333/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	3802/6/1	0/0/0	0/0/0	0/0/0	0/0/0	73/5/7	0/0/0	0/0/0			336/0/0		5313/12/7			528/0/0	192/17/1		60/0/0	3608/1/3	25/16/0					333/0/0											3802/6/1					73/5/7									
33	mas 32	mas 33	10 to 14		"1,461"	251.9	747.421875	461.8	0	0			2880	2880	2880	2880	2880	2880	2880	2880		0	251.9	0	0	747.421875	0	461.8	0	0		0/0/0	0/0/0	0/0/0	2698/16/0	0/0/0	0/0/0	132/0/0	0/0/0	0/0/0	0/0/0	4101/1/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	5520/0/0	0/0/0	0/0/0	0/0/0	0/0/0	192/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	4867/19/11	0/0/0	0/0/0	0/0/0	0/0/0	21/12/0	0/0/0	0/0/0					2698/16/0			132/0/0				4101/1/4						5520/0/0					192/0/0						4867/19/11					21/12/0									
34	mas 33	mas 34	10 to 14		"1,262"	326.375	676.108333333333	0	0	259.25			2880	2880	2880	2880	2880	2880	2880	2880		6	320.375	0	0	676.108333333333	259.25	0	0	0		0/0/0	72/0/0	0/0/0	3260/14/0	0/0/0	0/0/0	492/0/0	91/16/0	0/0/0	0/0/0	3797/6/0	3000/0/0	108/0/0	0/0/0	3/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	4316/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			72/0/0		3260/14/0			492/0/0	91/16/0			3797/6/0	3000/0/0	108/0/0		3/0/0													4316/0/0														
35	mas 34	mas 35	10 to 14		"1,595"	519.076041666667	777.581597222222	96.1430555555556	0	201.75			2880	2880	2880	2880	2880	2880	2880	2880		0	514.076041666667	5	0	777.581597222222	201.75	96.1430555555556	0	0		0/0/0	0/0/0	0/0/0	5289/18/3	0/0/0	0/0/0	744/0/0	0/0/0	60/0/0	0/0/0	6661/2/6	2400/0/0	0/0/0	0/0/0	21/0/0	0/0/0	1153/14/4	0/0/0	0/0/0	0/0/0	0/0/0	135/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2669/17/1	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					5289/18/3			744/0/0		60/0/0		6661/2/6	2400/0/0			21/0/0		1153/14/4					135/0/0						2669/17/1														
36	mas 35	mas 36	10 to 14		"2,232"	1259.28576388889	909.564930555556	0	0	63			2880	2880	2880	2880	2880	2880	2880	2880		122	1137.28576388889	0	0	909.564930555556	63	0	0	0		0/0/0	1464/0/0	0/0/0	9330/8/8	0/0/0	0/0/0	996/0/0	0/0/0	0/0/0	228/0/0	6611/1/1	144/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1706/12/0	0/0/0	1614/7/11	0/0/0	0/0/0	384/0/0	4303/14/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1464/0/0		9330/8/8			996/0/0			228/0/0	6611/1/1	144/0/0										1706/12/0		1614/7/11			384/0/0	4303/14/6														
37	mas 36	mas 37	10 to 14		"2,177"	1396.19618055555	683.080555555556	60	0	37.5			2880	2880	2880	2880	2880	2880	2880	2880		296.790972222222	1077.40520833333	22	0	683.080555555556	37.5	60	0	0		0/0/0	3457/16/0	0/0/0	9087/16/0	0/0/0	0/0/0	3214/4/0	0/0/0	0/0/0	0/0/0	5570/6/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	103/13/10	0/0/0	250/1/3	0/0/0	240/0/0	136/16/0	264/0/0	120/0/0	2626/12/9	330/0/0	0/0/0	0/0/0	0/0/0	720/0/0	0/0/0	0/0/0			3457/16/0		9087/16/0			3214/4/0				5570/6/7									103/13/10		250/1/3		240/0/0	136/16/0	264/0/0	120/0/0	2626/12/9	330/0/0				720/0/0									
38	mas 37	mas 38	10 to 14		"2,520"	1526.40729166667	862.745138888889	0	0	131.095833333333			2880	2880	2880	2880	2880	2880	2880	2880		232.94375	1278.46354166667	15	0	862.745138888889	131.095833333333	0	0	0		0/0/0	2592/0/0	0/0/0	11740/17/7	0/0/0	0/0/0	1920/0/0	240/0/0	180/0/0	0/0/0	5585/18/3	1392/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	203/6/6	0/0/0	0/0/0	0/0/0	1440/13/8	0/0/0	0/0/0	0/0/0	4767/0/7	181/3/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			2592/0/0		11740/17/7			1920/0/0	240/0/0	180/0/0		5585/18/3	1392/0/0								203/6/6				1440/13/8				4767/0/7	181/3/0													
39	mas 38	mas 39	10 to 14		"1,945"	1234.12395833334	698.417708333333	5	0	7.82430555555556			2880	2880	2880	2880	2880	2880	2880	2880		161.171527777778	1072.95243055556	0	0	698.417708333333	7.82430555555556	5	0	0		0/0/0	1598/1/2	0/0/0	8247/6/0	0/0/0	0/0/0	1284/0/0	48/0/0	0/0/0	0/0/0	5932/13/0	60/0/0	33/17/10	0/0/0	0/0/0	0/0/0	60/0/0	0/0/0	0/0/0	336/0/0	0/0/0	1855/3/9	0/0/0	1440/18/10	0/0/0	0/0/0	0/0/0	2448/7/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1598/1/2		8247/6/0			1284/0/0	48/0/0			5932/13/0	60/0/0	33/17/10				60/0/0			336/0/0		1855/3/9		1440/18/10				2448/7/3														
40	mas 39	mas 40	10 to 14		"1,997"	1601.934375	254.564930555556	0	0	140.7			2880	2880	2880	2880	2880	2880	2880	2880		136.107291666667	1465.82708333333	0	0	254.564930555556	140.7	0	0	0		0/0/0	919/4/0	0/0/0	15013/16/2	0/0/0	0/0/0	936/0/0	48/0/0	0/0/0	84/0/0	2328/0/0	0/0/0	120/0/0	1080/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	714/1/9	0/0/0	1205/16/9	0/0/0	386/5/7	0/0/0	0/0/0	3/0/0	726/15/7	401/8/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			919/4/0		15013/16/2			936/0/0	48/0/0		84/0/0	2328/0/0		120/0/0	1080/0/0						714/1/9		1205/16/9		386/5/7			3/0/0	726/15/7	401/8/0													
41	mas 40	mas 41	10 to 14		"1,289"	1086.353125	150.571180555556	0	0	52.25			2880	2880	2880	2880	2880	2880	2880	2880		47.15	1039.053125	0.15	0	150.571180555556	52.25	0	0	0		0/0/0	565/16/0	0/0/0	7847/14/0	0/0/0	0/0/0	1677/9/0	475/4/0	1/16/0	0/0/0	1603/4/0	324/0/0	0/0/0	0/0/0	123/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2465/5/9	0/0/0	0/0/0	3/0/0	0/0/0	0/0/0	203/13/1	180/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			565/16/0		7847/14/0			1677/9/0	475/4/0	1/16/0		1603/4/0	324/0/0			123/0/0							2465/5/9			3/0/0			203/13/1	180/0/0													
42	mas 41	mas 42	10 to 14		"1,031"	561.914236111111	421.835069444444	0	0	46.978125			2880	2880	2880	2880	2880	2880	2880	2880		20.5791666666667	541.335069444444	0	0	421.835069444444	46.453125	0	0	1		0/0/0	84/14/8	0/0/0	3663/12/0	0/0/0	0/0/0	828/0/0	244/15/6	0/0/0	0/0/0	4119/11/3	0/0/0	0/0/0	0/0/0	406/4/0	0/0/0	0/0/0	0/0/0	0/0/0	162/4/4	0/0/0	0/0/0	0/0/0	297/1/4	1462/11/7	0/0/0	0/0/0	942/9/2	115/4/9	36/0/0	0/0/0	0/0/0	0/0/0	0/0/0	6/6/0			84/14/8		3663/12/0			828/0/0	244/15/6			4119/11/3				406/4/0					162/4/4				297/1/4	1462/11/7			942/9/2	115/4/9	36/0/0					6/6/0							
43	mas 42	mas 43	10 to 14		"1,299"	657.070138888889	592.480555555556	0	0	49.5208333333333			2880	2880	2880	2880	2880	2880	2880	2880		122.140972222222	534.929166666667	0	0	592.480555555556	40	0	0	10		0/0/0	948/0/0	0/0/0	2733/19/8	0/0/0	0/0/0	612/0/0	1404/0/0	0/0/0	0/0/0	4878/8/3	0/0/0	0/0/0	0/0/0	276/0/0	0/0/0	0/0/0	0/0/0	114/5/0	517/13/10	0/0/0	1669/3/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2231/7/1	204/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			948/0/0		2733/19/8			612/0/0	1404/0/0			4878/8/3				276/0/0				114/5/0	517/13/10		1669/3/4						2231/7/1	204/0/0													
44	mas 43	mas 44	10 to 14		495	274.694444444444	193.445833333333	0	0	26.9666666666667			2880	2880	2880	2880	2880	2880	2880	2880		20.2767361111111	254.417708333333	0	0	193.445833333333	5	0	0	22		0/0/0	168/0/0	0/0/0	444/0/0	0/0/0	0/0/0	600/0/0	0/0/0	0/0/0	0/0/0	1434/0/0	0/0/0	0/0/0	0/0/0	60/0/0	0/0/0	0/0/0	0/0/0	77/17/0	75/6/5	0/0/0	2009/0/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	887/7/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	185/15/0			168/0/0		444/0/0			600/0/0				1434/0/0				60/0/0				77/17/0	75/6/5		2009/0/3						887/7/0							185/15/0							
45	mas 44	mas 45	10 to 14		574	189.3	242.079166666667	0	0	143			2880	2880	2880	2880	2880	2880	2880	2880		0	189.3	0	0	242.079166666667	138	0	0	5		0/0/0	0/0/0	0/0/0	372/0/0	0/0/0	0/0/0	1320/0/0	0/0/0	0/0/0	0/0/0	1863/6/0	1656/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	60/0/0	0/0/0	0/0/0	579/12/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1041/13/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					372/0/0			1320/0/0				1863/6/0	1656/0/0							60/0/0			579/12/0						1041/13/0														
46	mas 45	mas 46	10 to 14		137	25.5704861111111	99.6694444444444	0	0	11.309375			2880	2880	2880	2880	2880	2880	2880	2880		0	25.5704861111111	0	0	99.6694444444444	0	0	0	11		0/0/0	0/0/0	0/0/0	300/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	546/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	6/16/11	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	650/0/8	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	135/14/3					300/0/0							546/0/0											6/16/11						650/0/8							135/14/3							
47	mas 46	mas 47	10 to 14		596	327.980902777778	236.625	0	0	31.684375			2880	2880	2880	2880	2880	2880	2880	2880		50	277.980902777778	0	0	236.625	5	0	0	27		0/0/0	502/16/0	0/0/0	72/0/0	0/0/0	0/0/0	1959/9/5	0/0/0	0/0/0	60/0/0	1792/4/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	320/4/3	97/4/0	0/0/0	1062/10/0	0/0/0	0/0/0	241/16/0	0/0/0	0/0/0	1047/6/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			502/16/0		72/0/0			1959/9/5			60/0/0	1792/4/0								320/4/3	97/4/0		1062/10/0			241/16/0			1047/6/0														
48	mas 47	mas 48	10 to 14		"1,747"	878.535763888889	814.097222222222	0	0	54.4625			2880	2880	2880	2880	2880	2880	2880	2880		90.2576388888889	452.278125	336	0	814.097222222222	0	0	0	54		0/0/0	1044/0/0	0/0/0	229/7/9	0/0/0	48/0/0	3636/0/0	0/0/0	4032/0/0	0/0/0	5172/3/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	653/11/0	39/1/10	0/0/0	427/19/0	0/0/0	570/0/0	516/0/0	0/0/0	0/0/0	4596/19/9	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1044/0/0		229/7/9		48/0/0	3636/0/0		4032/0/0		5172/3/7								653/11/0	39/1/10		427/19/0		570/0/0	516/0/0			4596/19/9														
49	mas 48	mas 49	10 to 14		"1,234"	420.103819444445	626.543055555556	0	0	187			2880	2880	2880	2880	2880	2880	2880	2880		0.967708333333333	418.016666666667	1.11944444444444	0	626.543055555556	187	0	0	0		0/0/0	9/3/3	0/0/0	64/4/0	0/0/0	0/0/0	4656/0/0	271/8/0	0/0/0	0/0/0	4274/14/10	2160/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2/9/0	0/0/0	24/12/0	0/0/0	0/0/0	0/0/0	13/8/8	0/0/0	3243/15/6	0/0/0	84/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			9/3/3		64/4/0			4656/0/0	271/8/0			4274/14/10	2160/0/0								2/9/0		24/12/0				13/8/8		3243/15/6		84/0/0												
50	mas 49	ms 50	10 to 14		"4,660"	2057.80486111111	2473.53055555556	0	0	128.5			2880	2880	2880	2880	2880	2880	2880	2880		592.954861111111	1464.85	0	0	2473.53055555556	128.5	0	0	0		0/0/0	3624/5/8	0/0/0	4429/4/0	0/0/0	9/0/0	11280/0/0	756/0/0	0/0/0	0/0/0	20063/1/4	414/0/0	1080/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	3491/3/6	0/0/0	312/0/0	0/0/0	780/0/0	12/0/0	0/0/0	0/0/0	9619/6/0	0/0/0	48/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			3624/5/8		4429/4/0		9/0/0	11280/0/0	756/0/0			20063/1/4	414/0/0	1080/0/0							3491/3/6		312/0/0		780/0/0	12/0/0			9619/6/0		48/0/0												
51	ms 50	mas 51	10 to 14		"7,386"	3147.60972222222	3723.74756944444	0	0	514.825			2880	2880	2880	2880	2880	2880	2880	2880		173.4	2917.20972222222	57	0	3723.74756944444	514.825	0	0	0		0/0/0	1794/0/0	0/0/0	13354/11/6	0/0/0	96/0/0	17137/10/0	1843/16/0	564/0/0	1560/0/0	38885/2/6	0/0/0	1200/0/0	0/0/0	2376/0/0	293/2/0	0/0/0	0/0/0	0/0/0	286/16/0	0/0/0	666/0/0	0/0/0	1908/12/10	0/0/0	120/0/0	1/4/0	5799/16/11	18/0/0	723/12/0	6/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1794/0/0		13354/11/6		96/0/0	17137/10/0	1843/16/0	564/0/0	1560/0/0	38885/2/6		1200/0/0		2376/0/0	293/2/0				286/16/0		666/0/0		1908/12/10		120/0/0	1/4/0	5799/16/11	18/0/0	723/12/0	6/0/0											
52	mas 51	mas 52	10 to 14		"5,368"	1313.61631944444	4039.79583333333	0	0	15			2880	2880	2880	2880	2880	2880	2880	2880		286.857986111111	1026.75833333333	0	0	4039.79583333333	15	0	0	0		0/0/0	1981/16/0	0/0/0	5972/2/0	0/0/0	0/0/0	4404/10/0	1622/18/0	0/0/0	0/0/0	44471/1/0	0/0/0	144/0/0	36/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1460/9/11	0/0/0	24/0/0	0/0/0	297/12/0	0/0/0	0/0/0	0/0/0	4006/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1981/16/0		5972/2/0			4404/10/0	1622/18/0			44471/1/0		144/0/0	36/0/0						1460/9/11		24/0/0		297/12/0				4006/10/0														
53	mas 52	mas 53	10 to 14		"3,912"	2425.02847222222	1480.23125	0	0	7			2880	2880	2880	2880	2880	2880	2880	2880		166.8	2224.22847222222	34	0	1480.23125	7	0	0	0		0/0/0	1266/0/0	0/0/0	9030/0/0	0/0/0	0/0/0	15444/4/6	84/0/0	0/0/0	0/0/0	12418/10/0	0/0/0	0/0/0	60/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	735/12/0	0/0/0	762/0/0	0/0/0	1370/10/4	0/0/0	408/0/0	0/0/0	5344/5/6	24/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1266/0/0		9030/0/0			15444/4/6	84/0/0			12418/10/0			60/0/0						735/12/0		762/0/0		1370/10/4		408/0/0		5344/5/6	24/0/0													
54	mas 53	mas 54	10 to 14		"3,214"	1391.88993055556	1697.98333333333	0	0	124.036805555556			2880	2880	2880	2880	2880	2880	2880	2880		153.485416666667	1238.40451388889	0	0	1697.98333333333	124.036805555556	0	0	0		0/0/0	60/0/0	0/0/0	6588/5/1	0/0/0	0/0/0	4617/5/4	180/0/0	0/0/0	120/0/0	16542/10/6	0/0/0	0/0/0	960/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1443/14/9	0/0/0	1369/6/8	338/1/9	2106/0/0	0/0/0	0/0/0	84/0/0	3833/5/6	324/8/10	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			60/0/0		6588/5/1			4617/5/4	180/0/0		120/0/0	16542/10/6			960/0/0						1443/14/9		1369/6/8	338/1/9	2106/0/0			84/0/0	3833/5/6	324/8/10													
55	mas 54	mas 55	10 to 14		"2,545"	360.125	2118.97291666667	0	0	66			2880	2880	2880	2880	2880	2880	2880	2880		113.85	246.275	0	0	2118.97291666667	66	0	0	0		0/0/0	1366/4/0	0/0/0	1230/0/0	0/0/0	0/0/0	1113/6/0	0/0/0	0/0/0	0/0/0	18929/6/3	0/0/0	0/0/0	72/0/0	720/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	312/0/0	0/0/0	192/0/0	108/0/0	0/0/0	0/0/0	6498/7/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1366/4/0		1230/0/0			1113/6/0				18929/6/3			72/0/0	720/0/0							312/0/0		192/0/0	108/0/0			6498/7/3														
56	mass 55	mas 56	10 to 14		"4,803"	1613.85	3093.01319444444	0	0	95.9885416666667			2880	2880	2880	2880	2880	2880	2880	2880		161.303125	1450.296875	2.25	0	3093.01319444444	84	0	0	12		0/0/0	1818/15/0	0/0/0	3145/8/8	0/0/0	0/0/0	4518/0/0	3246/0/0	0/0/0	0/0/0	24226/2/6	0/0/0	0/0/0	0/0/0	96/0/0	912/0/0	0/0/0	0/0/0	143/17/3	116/17/9	0/0/0	0/0/0	0/0/0	3889/1/0	2605/1/7	27/0/0	0/0/0	12890/0/8	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1818/15/0		3145/8/8			4518/0/0	3246/0/0			24226/2/6				96/0/0	912/0/0			143/17/3	116/17/9				3889/1/0	2605/1/7	27/0/0		12890/0/8														
57	mas 56	mas 57	10 to 14		"4,158"	1768.15034722223	2317.38888888889	0	0	72.9347222222223			2880	2880	2880	2880	2880	2880	2880	2880		310.222916666667	1457.92743055556	0	0	2317.38888888889	14.9899305555556	0	0	58		0/0/0	2742/0/0	0/0/0	2398/18/1	0/0/0	2496/0/0	6353/8/0	1043/8/0	0/0/0	0/0/0	17879/9/3	0/0/0	24/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	980/13/6	0/0/0	1090/13/0	0/0/0	3812/15/6	300/0/0	0/0/0	155/17/7	9929/4/1	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	695/6/9			2742/0/0		2398/18/1		2496/0/0	6353/8/0	1043/8/0			17879/9/3		24/0/0							980/13/6		1090/13/0		3812/15/6	300/0/0		155/17/7	9929/4/1							695/6/9							
58	mas 57	mas 58	10 to 14		"3,937"	1407.40416666667	2334.72881944444	0	0	194.903125			2880	2880	2880	2880	2880	2880	2880	2880		204.521180555556	1140.15798611111	62.725	0	2334.72881944444	1	0	0	194		0/0/0	1572/0/0	0/0/0	1011/9/9	0/0/0	360/0/0	1683/18/0	5763/16/6	0/0/0	0/0/0	17776/19/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2205/9/9	882/5/1	0/0/0	708/0/0	0/0/0	2087/0/8	2067/13/0	752/14/0	0/0/0	10239/15/5	12/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	121/7/0			1572/0/0		1011/9/9		360/0/0	1683/18/0	5763/16/6			17776/19/6								2205/9/9	882/5/1		708/0/0		2087/0/8	2067/13/0	752/14/0		10239/15/5	12/0/0						121/7/0							
59	mas 58	mas 59	10 to 14		"4,851"	1672.50833333333	2956.69166666667	0	0	222.276388888889			2880	2880	2880	2880	2880	2880	2880	2880		240.141319444444	1397.36701388889	35	52.7090277777778	2956.69166666667	2.82986111111111	0	0	167		632/10/2	1290/0/0	0/0/0	778/8/7	0/0/0	96/0/0	4320/0/0	4212/0/0	0/0/0	0/0/0	27070/0/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1880/17/0	1436/1/3	0/0/0	288/0/0	155/12/8	6303/11/6	770/8/0	420/0/0	0/0/0	8410/5/6	33/19/2	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	120/0/0		632/10/2	1290/0/0		778/8/7		96/0/0	4320/0/0	4212/0/0			27070/0/6								1880/17/0	1436/1/3		288/0/0	155/12/8	6303/11/6	770/8/0	420/0/0		8410/5/6	33/19/2						120/0/0							
60	mas 59	mas 60	10 to 14		"1,853"	368.705902777778	1472.92569444444	0	0	11.1423611111111			2880	2880	2880	2880	2880	2880	2880	2880		213.775	153.514236111111	1.41666666666667	0	1472.92569444444	0	0	0	11		0/0/0	2106/0/0	0/0/0	360/0/0	0/0/0	0/0/0	417/12/0	6/15/5	17/0/0	0/0/0	14344/11/11	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	459/6/0	0/0/0	121/16/0	0/0/0	936/0/0	0/0/0	0/0/0	0/0/0	3330/10/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	133/14/2			2106/0/0		360/0/0			417/12/0	6/15/5	17/0/0		14344/11/11									459/6/0		121/16/0		936/0/0				3330/10/3							133/14/2							
61	mas 60	mas 61	10 to 14		878	170.773611111111	681.746180555556	0	0	25.6166666666667			2880	2880	2880	2880	2880	2880	2880	2880		31.4190972222222	138.354513888889	1	2.85	681.746180555556	0	0	0	23		34/4/0	45/12/0	0/0/0	264/0/0	0/0/0	0/0/0	115/8/3	836/5/7	12/0/0	0/0/0	6590/0/1	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	252/0/0	331/8/7	0/0/0	114/12/0	0/0/0	204/0/0	125/19/3	0/0/0	0/0/0	1590/19/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	21/4/0		34/4/0	45/12/0		264/0/0			115/8/3	836/5/7	12/0/0		6590/0/1								252/0/0	331/8/7		114/12/0		204/0/0	125/19/3			1590/19/0							21/4/0							
62	mas 61	mas 62	10 to 14		"1,984"	559.548958333333	1389.11875	0	0	35			2880	2880	2880	2880	2880	2880	2880	2880		24.6739583333333	534.875	0	0	1389.11875	35	0	0	0		0/0/0	156/0/0	0/0/0	1164/0/0	0/0/0	0/0/0	2133/15/9	1746/0/0	0/0/0	0/0/0	13938/17/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	140/1/9	0/0/0	120/0/0	0/0/0	1254/14/3	0/0/0	0/0/0	0/0/0	2730/11/6	0/0/0	168/0/0	252/0/0	0/0/0	0/0/0	0/0/0	0/0/0			156/0/0		1164/0/0			2133/15/9	1746/0/0			13938/17/0									140/1/9		120/0/0		1254/14/3				2730/11/6		168/0/0	252/0/0											
63	mas 62	mas 63	10 to 14		"3,567"	873.705208333333	1659.07986111111	0	0	1034.42604166667			2880	2880	2880	2880	2880	2880	2880	2880		29.5614583333333	819.14375	25	3	1659.07986111111	995.426041666667	0	0	36		36/0/0	294/0/0	0/0/0	384/0/0	0/0/0	720/0/0	6684/0/0	1344/0/0	300/0/0	6/0/0	16317/15/0	9948/0/0	60/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	432/0/0	60/14/9	0/0/0	235/16/0	0/0/0	461/18/6	0/0/0	0/0/0	0/0/0	3591/4/2	1931/2/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0		36/0/0	294/0/0		384/0/0		720/0/0	6684/0/0	1344/0/0	300/0/0	6/0/0	16317/15/0	9948/0/0	60/0/0						432/0/0	60/14/9		235/16/0		461/18/6				3591/4/2	1931/2/3													
64	mas 63	mas 64	10 to 14		"4,503"	2458.33958333334	1593.24722222222	309.5	0	141.6375			2880	2880	2880	2880	2880	2880	2880	2880		37.8916666666667	2360.44791666667	60	0	1593.24722222222	141.6375	309.5	0	0		0/0/0	282/0/0	0/0/0	3672/0/0	0/0/0	240/0/0	8549/8/0	6000/0/0	0/0/0	0/0/0	12534/6/0	1681/13/0	0/0/0	0/0/0	18/0/0	0/0/0	3714/0/0	0/0/0	0/0/0	0/0/0	0/0/0	122/14/5	172/14/0	6301/19/1	3439/6/0	720/0/0	0/0/0	6584/13/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			282/0/0		3672/0/0		240/0/0	8549/8/0	6000/0/0			12534/6/0	1681/13/0			18/0/0		3714/0/0					122/14/5	172/14/0	6301/19/1	3439/6/0	720/0/0		6584/13/4														
65	mas 64	mas 65	10 to 14		"6,058"	2525.53368055556	2649.43576388889	685	0	198.029166666667			2880	2880	2880	2880	2880	2880	2880	2880		393.15	2132.38368055556	0	0	2649.43576388889	198.029166666667	685	0	0		0/0/0	3738/0/0	684/0/0	3603/0/0	0/0/0	0/0/0	13371/14/5	2220/0/0	0/0/0	120/0/0	24633/0/0	2040/0/0	168/0/0	0/0/0	0/0/0	0/0/0	7092/0/0	0/0/0	0/0/0	295/16/0	0/0/0	3185/8/0	0/0/0	2575/2/0	633/7/8	0/0/0	48/7/0	7160/4/7	0/0/0	0/0/0	0/0/0	0/0/0	1128/0/0	0/0/0	0/0/0			3738/0/0	684/0/0	3603/0/0			13371/14/5	2220/0/0		120/0/0	24633/0/0	2040/0/0	168/0/0				7092/0/0			295/16/0		3185/8/0		2575/2/0	633/7/8		48/7/0	7160/4/7					1128/0/0									
