Errors: A1—14 / False positives or false negatives in archival material.
ID	NO	START	END	SOURCE	TYPE	DESCRIPTION	NOTE	
		MS	Add MS	1	2019	157097	Additional Manuscripts					British Library	London	UK	BL Catalogue	"PERIOD = 1 set arbitrarily / couple Add MS dated BCE /BL Catalogue, Link: http://searcharchives.bl.uk/primo_library/libweb/action/search.do?vid=IAMS_VU2"		
		MS	Ann Reg	1765	1800	1	"Annual register, from 1765, compiled by [James] McLeish"					xxx			Burdon 1 p291	"McLeish = Author of “British activities in Yucatan and on the Moskito Shore in the eighteenth century,” 1926 MA thesis for University of London, catalogue Link: https://catalogue.libraries.london.ac.uk/record=b2980637~S1, summary Link: https://doi.org/10.1111/j.1468-2281.1927.tb00433.x  "		
		MS	"GUATEMALA,a"	1525	1837	15	Audiencia de Guatemala					Archivo General de Indias	Seville	Spain	PARES	PARES Link: http://pares.mcu.es/ParesBusquedas20/catalogo/search 		
		MS	"MEXICO,a"	1519	1856	3218	Audiencia de México					Archivo General de Indias	Seville	Spain	PARES			
		MS	"SANTA_FE,a"	1527	1831	24	Audiencia de Santa Fe					Archivo General de Indias	Seville	Spain	PARES			
		MS	"U Tex Lib, G19-d"	1500	1920	xxx	Benson Latin American Collection					University of Texas	Austin	USA	"C. E. Castañeda, J. A. Dabbs, Guide, Cambridge 1939, Link: https://hdl.handle.net/2027/mdp.39015034712904 "			
		MS	"CONTRATACION,a"	1492	1795	51	Casa de la Contratación					Archivo General de Indias	Seville	Spain	PARES			
		MS	"Mus Nav, Col Nav, d"	1492	1773	32	Colección Navarrete					Museo Naval	Madrid	Spain	D. Higueras Rodriguez Link: https://armada.defensa.gob.es/archivo/mardigitalrevistas/cuadernosihcn/24cuaderno/04cap.pdf 	"Some volumes or items possibly deposited in Archivo General de la Marina ""Álvaro de Bazán,” Ciudad Real, Spain /Higueras Rodriguez p35"		
		MS	Egerton MS	701	1999	3942	Egerton Manuscripts					British Library	London	UK	BL Catalogue			
		MS	"ESCRIBANIA,a"	1525	1778	91	Escribanía de Cámara de Justicia					Archivo General de Indias	Seville	Spain	PARES			
		MS	GCF	1790	1793	1	Grand Courts and Summary Courts F					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	GCT	1796	1805	1	Grand Courts and Summary Courts T					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	Somerset DD/WHh/d	1201	2000	59	HELYAR DOCUMENTS AND MUNIMENTS FROM COKER COURT. 13th century - 20th century					Somerset Heritage Centre	Taunton	UK	Somerset Archive Catalogue	Link: https://somerset-cat.swheritage.org.uk/records/DD/WHh 		
		MS	"AGN Mex, Historia, d"	1616	1880	597	Historia					Archivo General de la Nación	Mexico	Mexico	AGN Mexico Guía	AGN Mexico Guía Link: https://archivos.gob.mx/GuiaGeneral/GuiaGeneral.html 		
		MS	"INDIFERENTE,a"	1492	1870	3302	Indiferente General					Archivo General de Indias	Seville	Spain	PARES			
		MS	"Old WIC, 1.05.01.01, d"	1621	1711	99	"Inventaris van het archief van de Oude West-Indische Compagnie (Oude WIC), 1621-1674 (1711)"					Nationaal Archief	Hague	Netherlands	NA Hague Inventories	NA Hague Inventories Link: https://www.nationaalarchief.nl/onderzoeken/zoeken?activeTab=archives 		
		MS	"States-General, 1.01.02, d"	1431	1796	17734	"Inventaris van het archief van de Staten-Generaal, (1431) 1576-1796"					Nationaal Archief	Hague	Netherlands	NA Hague Inventories			
		MS	Laws 1765–1810	1765	1810	1	"Laws of Honduras, 1806–1810"					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	MLA	1791	1800	1	Magistrates' Letters A					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	MMA 2	1796	1805	1	Magistrates' Meetings A.2					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	Lib Jam MS d	1655	2017	2521	Manuscript and Archive Collection					National Library of Jamaica	Kingston	Jamaica	Lib Jam Catalogue	Lib Jam Catalogue Link: https://nlj.gov.jm/manuscripts-2/ 		
		MS	MMA 1	1793	1796	1	Meetings of Magistrates Meetings A.1					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	"Bib Real, Mis Ayala, a"	xxx		xxx	Miscelánea de Manuel José de Ayala					Real Biblioteca del Palacio Real de Madrid	Madrid	Spain				
		MS	MSR	1771	1787	xxx	Mosquito Shore Records					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	"PATRONATO,a"	1480	1801	8	Patronato Real					Archivo General de Indias	Seville	Spain	PARES			
		MS	PCR	1789	1798	1	Police Court Records and Magistrates' Meetings					Archives and Records Service	Belmopan	Belize	Burdon 1	"Numbered 13 on fly leaf / includes Police Court Records 1789, Magistrates' Meetings 1793, Bonds 1797–1798 /Burdon 1 p292"		
		MS	PR 1	1774	1818	8	Private Records 1					Archives and Records Service	Belmopan	Belize	Burdon 1	"Typed copies of eight Record Books 1774–1818, bulk 1784–1793 /Burdon 1 p291"		
		MS	PR 2	1806	1831	1	Private Records 2					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	PRE	1790	1792	1	Private Records E					Archives and Records Service	Belmopan	Belize	Burdon 1 p292			
		MS	PRH	1792	1793	1	Private Records H					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	PRM	1793	1795	1	Private Records M					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	PRN	1795	1796	1	Private Records N					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	PRO	1796	1800	1	Private Records O					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	PRXY	1813	1815	1	Private Records X.Y					Archives and Records Service	Belmopan	Belize	Burdon 1			
		MS	Rawl MSS A. d	1101	1800	xxx	"Rawlinson Manuscripts, Series A: English History, 12th-18th century"					Bodleian Library	Oxford	UK	Bod Lib Catalogue	Bod Lib Catalogue Link: https://archives.bodleian.ox.ac.uk/repositories/2/archival_objects/90884 		
		MS	"AGN Mex, Reales Cédulas, d"	1520	1820	447	Reales Cédulas					Archivo General de la Nación	Mexico	Mexico	AGN Mexico Guía			
		MS	SP d/d	1231	1888	127	"Records assembled by the State Paper Office, including papers of the Secretaries of State up to 1782"					National Archives	Kew	UK	TNA Kew Catalogue	Cited as SPF Archives / SPF Spain in Burdon 1–3		
		MS	FO d/d	1567	2004	1113	Records created or inherited by the Foreign Office					National Archives	Kew	UK	TNA Kew Catalogue			
		MS	ADM d/d	1205	1998	363	"Records of the Admiralty, Naval Forces, Royal Marines, Coastguard, and related bodies"					National Archives	Kew	UK	TNA Kew Catalogue			
		MS	CUST d/d	1554	2019	208	"Records of the Boards of Customs, Excise, and Customs and Excise, and HM Revenue and Customs"					National Archives	Kew	UK	TNA Kew Catalogue			
		MS	CO d/d	1570	1990	1073	"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"					National Archives	Kew	UK	TNA Kew Catalogue	"TNA Kew Catalogue, Link: https://discovery.nationalarchives.gov.uk/ "		
		MS	FCO d/d	1878	2019	188	Records of the Foreign and Commonwealth Office and predecessors					National Archives	Kew	UK	TNA Kew Catalogue			
		MS	Sloane MS	1	1964	3885	Sloane Manuscripts					British Library	London	UK	BL Catalogue			
		MS	BL Thomason Tracts E. d	1640	1661	2000	Thomason Tracts					British Library	London	UK	BL Catalogue			
