Series C 0—992 / Data on buccaneering or piratical activity in the Bay of Honduras from Spanish correspondence.
ID	NO	SER	CF	REL	EXT	START	STOP	PIR	DEF	IMG	FOL	NOTE	END	
C 51	51	Gob	"GUATEMALA,39,R.26,N.144"	0	0	np	np	np	np	np	np	xnp	###	
C 52	52	Gob	"GUATEMALA,39,R.26,N.145"	1	0	26 Jun 1675	np	0	0	np	np	xnp	###	
C 53	53	Gob	"GUATEMALA,39,R.26,N.146"	1	0	26 Jun 1675	np	0	0	np	np	xnp	###	
C 54	54	Gob	"GUATEMALA,39,R.26,N.147"	1	0	15 Mar 1676	np	0	0	np	np	xnp	###	
C 55	55	Gob	"GUATEMALA,39,R.27,N.148"	1	0	22 May 1680	np	0	0	np	np	xnp	###	
C 56	56	Gob	"GUATEMALA,39,R.27,N.149"	1	0	15 Sep 1680	np	0	0	np	np	xnp	###	
C 57	57	Gob	"GUATEMALA,39,R.28,N.150"	0	0	np	np	np	np	np	np	Inc re defence	###	
C 58	58	Gob	"GUATEMALA,39,R.29,N.151"	1	0	10 May 1688	np	1	0	1	xxx	xnp	###	
C 59	59	Gob	"GUATEMALA,39,R.30,N.153"	1	0	23 Feb 1696	np	0	0	np	np	xnp	###	
C 60	60	Gob	"GUATEMALA,39,R.30,N.154"	1	0	1 Mar 1696	np	0	0	np	np	xnp	###	
C 61	61	Gob	"GUATEMALA,39,R.30,N.155"	1	0	2 Mar 1696	np	0	0	np	np	xnp	###	
C 62	62	Gob	"GUATEMALA,39,R.29,N.152"	1	0	12 Jan 1698	np	xxx	xxx	xnp	xnp	Damaged	###	
C 63	63	Gob	"GUATEMALA,39,R.31,N.156"	0	0	np	np	np	np	np	np	xnp	###	
C 64	64	Aud	"GUATEMALA,13,R.7,N.64"	0	0	np	np	np	np	np	np	xnp	###	
C 65	65	Aud	"GUATEMALA,13,R.7,N.65"	1	0	15 Jul 1615	np	0	0	np	np	xnp	###	
C 66	66	Aud	"GUATEMALA,13,R.7,N.66"	1	0	10 Oct 1615	np	0	0	np	np	xnp	###	
C 67	67	Aud	"GUATEMALA,13,R.7,N.67"	0	0	np	np	np	np	np	np	xnp	###	
C 68	68	Aud	"GUATEMALA,13,R.8,N.68"	1	0	10 Jun 1616	np	0	0	np	np	xnp	###	
C 69	69	Aud	"GUATEMALA,13,R.8,N.69"	1	0	17 Nov 1616	np	0	1	5	xxx	xnp	###	
C 70	70	Aud	"GUATEMALA,13,R.9,N.70"	1	1	17 Jan 1617	13 Jun 1617	0	0	np	np	xnp	###	
C 71	71	Aud	"GUATEMALA,13,R.9,N.71"	1	0	10 Jun 1617	np	0	0	np	np	xnp	###	
C 72	72	Aud	"GUATEMALA,13,R.9,N.72"	1	0	13 Jun 1617	np	0	0	np	np	xnp	###	
C 73	73	Aud	"GUATEMALA,13,R.9,N.73"	1	0	14 Jun 1617	np	0	0	np	np	xnp	###	
C 74	74	Aud	"GUATEMALA,13,R.9,N.74"	1	0	14 Jun 1617	np	0	0	np	np	xnp	###	
C 75	75	Aud	"GUATEMALA,13,R.9,N.75"	0	0	np	np	np	np	np	np	xnp	###	
C 76	76	Aud	"GUATEMALA,13,R.9,N.76"	0	0	np	np	np	np	np	np	xnp	###	
C 77	77	Aud	"GUATEMALA,13,R.9,N.77"	1	0	1 Nov 1617	np	0	0	np	np	xnp	###	
C 78	78	Aud	"GUATEMALA,13,R.9,N.78"	0	0	np	np	np	np	np	np	xnp	###	
C 79	79	Aud	"GUATEMALA,13,R.9,N.79"	1	0	31 Dec 1617	np	0	0	np	np	xnp	###	
C 80	80	Aud	"GUATEMALA,13,R.9,N.81"	1	0	31 Dec 1617	np	0	0	np	np	xnp	###	
C 81	81	Aud	"GUATEMALA,13,R.9,N.80"	1	0	31 Dec 1617	np	0	0	np	np	xnp	###	
C 82	82	Aud	"GUATEMALA,14,R.1,N.1"	0	0	np	np	np	np	np	np	xnp	###	
C 83	83	Aud	"GUATEMALA,14,R.1,N.2"	0	0	np	np	np	np	np	np	xnp	###	
C 84	84	Aud	"GUATEMALA,14,R.1,N.3"	0	0	np	np	np	np	np	np	xnp	###	
C 85	85	Aud	"GUATEMALA,14,R.1,N.5"	0	0	np	np	np	np	np	np	xnp	###	
C 86	86	Aud	"GUATEMALA,14,R.1,N.4"	0	0	np	np	np	np	np	np	xnp	###	
C 87	87	Aud	"GUATEMALA,14,R.1,N.6"	0	0	np	np	np	np	np	np	xnp	###	
C 88	88	Aud	"GUATEMALA,14,R.1,N.7"	0	0	np	np	np	np	np	np	xnp	###	
C 89	89	Aud	"GUATEMALA,14,R.1,N.8"	0	0	np	np	np	np	np	np	xnp	###	
C 90	90	Aud	"GUATEMALA,14,R.1,N.9"	0	0	np	np	np	np	np	np	xnp	###	
C 91	91	Aud	"GUATEMALA,14,R.1,N.10"	1	0	15 Jun 1618	np	0	0	np	np	xnp	###	
C 92	92	Aud	"GUATEMALA,14,R.1,N.11"	0	0	np	np	np	np	np	np	xnp	###	
C 93	93	Aud	"GUATEMALA,14,R.1,N.12"	0	0	np	np	np	np	np	np	xnp	###	
C 94	94	Aud	"GUATEMALA,14,R.1,N.14"	0	0	np	np	np	np	np	np	xnp	###	
C 95	95	Aud	"GUATEMALA,14,R.1,N.15"	1	0	20 Jun 1618	np	0	0	np	np	xnp	###	
C 96	96	Aud	"GUATEMALA,14,R.1,N.13"	1	0	20 Jun 1618	np	0	0	np	np	xnp	###	
C 97	97	Aud	"GUATEMALA,14,R.1,N.16"	0	0	np	np	np	np	np	np	xnp	###	
C 98	98	Aud	"GUATEMALA,14,R.1,N.17"	1	0	20 Jul 1618	np	1	1	1	xxx	xnp	###	
C 99	99	Aud	"GUATEMALA,14,R.1,N.18"	0	0	np	np	np	np	np	np	xnp	###	
C 100	100	Aud	"GUATEMALA,14,R.1,N.19"	0	0	np	np	np	np	np	np	xnp	###	
C 101	101	Aud	"GUATEMALA,14,R.1,N.20"	1	0	3 Oct 1618	np	0	0	np	np	xnp	###	
C 102	102	Aud	"GUATEMALA,14,R.1,N.21"	1	0	4 Oct 1618	np	0	1	1	xxx	xnp	###	
C 103	103	Aud	"GUATEMALA,14,R.1,N.23"	1	0	4 Oct 1618	np	0	0	np	np	xnp	###	
C 104	104	Aud	"GUATEMALA,14,R.1,N.22"	1	0	4 Oct 1618	np	0	0	np	np	xnp	###	
C 105	105	Aud	"GUATEMALA,14,R.2,N.24"	1	0	8 Jan 1619	np	0	0	np	np	xnp	###	
C 106	106	Aud	"GUATEMALA,14,R.2,N.25"	1	0	9 Jan 1619	np	0	0	np	np	xnp	###	
C 107	107	Aud	"GUATEMALA,14,R.2,N.26"	1	0	9 Jan 1619	np	0	0	np	np	xnp	###	
C 108	108	Aud	"GUATEMALA,14,R.2,N.27"	1	0	9 Jan 1619	np	0	0	np	np	xnp	###	
C 109	109	Aud	"GUATEMALA,14,R.2,N.29"	1	0	15 Jun 1619	np	0	0	np	np	xnp	###	
C 110	110	Aud	"GUATEMALA,14,R.2,N.28"	1	0	15 Jun 1619	np	0	0	np	np	xnp	###	
C 111	111	Aud	"GUATEMALA,14,R.2,N.30"	1	0	15 Jun 1619	np	0	0	np	np	xnp	###	
C 112	112	Aud	"GUATEMALA,14,R.2,N.31"	1	0	15 Jun 1619	np	0	0	np	np	xnp	###	
C 113	113	Aud	"GUATEMALA,14,R.2,N.33"	1	0	17 Jun 1619	np	0	0	np	np	xnp	###	
C 114	114	Aud	"GUATEMALA,14,R.2,N.32"	1	0	17 Jun 1619	np	0	0	np	np	xnp	###	
C 115	115	Aud	"GUATEMALA,14,R.2,N.34"	1	1	25 Jun 1619	19 Sep 1619	0	0	np	np	xnp	###	
C 116	116	Aud	"GUATEMALA,14,R.2,N.35"	0	0	np	np	np	np	np	np	xnp	###	
C 117	117	Aud	"GUATEMALA,14,R.2,N.36"	0	0	np	np	np	np	np	np	xnp	###	
C 118	118	Aud	"GUATEMALA,14,R.2,N.38"	1	0	6 Oct 1619	np	0	1	1	xxx	xnp	###	
C 119	119	Aud	"GUATEMALA,14,R.2,N.37"	0	0	np	np	np	np	np	np	xnp	###	
C 120	120	Aud	"GUATEMALA,14,R.2,N.39"	0	0	np	np	np	np	np	np	xnp	###	
C 121	121	Aud	"GUATEMALA,14,R.2,N.40"	1	0	10 Oct 1619	np	0	0	np	np	xnp	###	
C 122	122	Aud	"GUATEMALA,14,R.2,N.43"	1	0	12 Oct 1619	np	0	0	np	np	Inc re foreigners	###	
C 123	123	Aud	"GUATEMALA,14,R.2,N.42"	0	0	np	np	np	np	np	np	xnp	###	
C 124	124	Aud	"GUATEMALA,14,R.2,N.41"	0	0	np	np	np	np	np	np	xnp	###	
C 125	125	Aud	"GUATEMALA,14,R.2,N.45"	0	0	np	np	np	np	np	np	xnp	###	
C 126	126	Aud	"GUATEMALA,14,R.2,N.44"	1	0	18 Dec 1619	np	0	0	np	np	xnp	###	
C 127	127	Aud	"GUATEMALA,14,R.3,N.63"	0	0	np	np	np	np	np	np	xnp	###	
C 128	128	Aud	"GUATEMALA,14,R.3,N.64"	0	0	np	np	np	np	np	np	xnp	###	
C 129	129	Aud	"GUATEMALA,14,R.3,N.46"	0	0	np	np	np	np	np	np	xnp	###	
C 130	130	Aud	"GUATEMALA,14,R.3,N.47"	1	1	22 Feb 1620	12 May 1620	0	0	np	np	xnp	###	
C 131	131	Aud	"GUATEMALA,14,R.3,N.48"	0	0	np	np	np	np	np	np	xnp	###	
C 132	132	Aud	"GUATEMALA,14,R.3,N.49"	0	0	np	np	np	np	np	np	xnp	###	
C 133	133	Aud	"GUATEMALA,14,R.3,N.50"	0	0	np	np	np	np	np	np	xnp	###	
C 134	134	Aud	"GUATEMALA,14,R.3,N.52"	1	0	20 May 1620	np	0	1	1	xxx	xnp	###	
C 135	135	Aud	"GUATEMALA,14,R.3,N.53"	1	0	20 May 1620	np	0	0	np	np	xnp	###	
C 136	136	Aud	"GUATEMALA,14,R.3,N.55"	0	0	np	np	np	np	np	np	xnp	###	
C 137	137	Aud	"GUATEMALA,14,R.3,N.51"	1	0	20 May 1620	np	0	0	np	np	xnp	###	
C 138	138	Aud	"GUATEMALA,14,R.3,N.54"	0	0	np	np	np	np	np	np	xnp	###	
C 139	139	Aud	"GUATEMALA,14,R.3,N.56"	0	0	np	np	np	np	np	np	xnp	###	
C 140	140	Aud	"GUATEMALA,14,R.3,N.57"	1	0	23 May 1620	np	0	0	np	np	xnp	###	
C 141	141	Aud	"GUATEMALA,14,R.3,N.58"	1	1	27 May 1620	4 Sep 1620	0	0	np	np	xnp	###	
C 142	142	Aud	"GUATEMALA,14,R.3,N.59"	0	0	np	np	np	np	np	np	xnp	###	
C 143	143	Aud	"GUATEMALA,14,R.3,N.60"	1	0	2 Oct 1620	np	0	0	np	np	xnp	###	
C 144	144	Aud	"GUATEMALA,14,R.3,N.61"	1	1	29 Oct 1620	27 Nov 1620	0	0	np	np	xnp	###	
C 145	145	Aud	"GUATEMALA,14,R.3,N.62"	1	1	4 Nov 1620	24 Nov 1620	0	0	np	np	xnp	###	
C 146	146	Aud	"GUATEMALA,14,R.4,N.65"	0	0	np	np	np	np	np	np	xnp	###	
C 147	147	Aud	"GUATEMALA,14,R.4,N.66"	0	0	np	np	np	np	np	np	xnp	###	
C 148	148	Aud	"GUATEMALA,14,R.4,N.67"	1	1	18 Jun 1621	18 Jun 1621	0	0	np	np	xnp	###	
C 149	149	Aud	"GUATEMALA,14,R.4,N.68"	1	0	6 Sep 1621	np	0	0	np	np	xnp	###	
C 150	150	Aud	"GUATEMALA,14,R.4,N.69"	1	0	25 Sep 1621	np	0	0	np	np	xnp	###	
C 151	151	Aud	"GUATEMALA,14,R.4,N.70"	1	0	26 Sep 1621	np	0	0	np	np	xnp	###	
C 152	152	Aud	"GUATEMALA,14,R.4,N.71"	0	0	np	np	np	np	np	np	xnp	###	
C 153	153	Aud	"GUATEMALA,15,R.1,N.1"	0	0	np	np	np	np	np	np	xnp	###	
C 154	154	Aud	"GUATEMALA,15,R.1,N.2"	1	0	10 Jun 1622	np	0	0	np	np	xnp	###	
C 155	155	Aud	"GUATEMALA,15,R.1,N.3"	1	0	11 Jun 1622	np	0	0	np	np	xnp	###	
C 156	156	Aud	"GUATEMALA,15,R.1,N.4"	0	0	np	np	np	np	np	np	xnp	###	
C 157	157	Aud	"GUATEMALA,15,R.1,N.5"	1	0	10 Oct 1622	np	0	0	np	np	xnp	###	
C 158	158	Aud	"GUATEMALA,15,R.1,N.6"	1	0	8 Oct 1622	np	0	0	np	np	Inc re foreigners	###	
C 159	159	Aud	"GUATEMALA,15,R.2,N.7"	1	1	2 Mar 1623	13 Dec 1623	0	0	np	np	xnp	###	
C 160	160	Aud	"GUATEMALA,15,R.2,N.8"	0	0	np	np	np	np	np	np	xnp	###	
C 161	161	Aud	"GUATEMALA,15,R.2,N.9"	1	0	8 Jun 1623	np	0	0	np	np	Inc re foreigners	###	
C 162	162	Aud	"GUATEMALA,15,R.2,N.10"	1	0	8 Jun 1623	np	0	0	np	np	xnp	###	
C 163	163	Aud	"GUATEMALA,15,R.2,N.11"	1	0	12 Oct 1623	np	0	0	np	np	xnp	###	
C 164	164	Aud	"GUATEMALA,15,R.2,N.12"	1	0	13 Oct 1623	np	0	0	np	np	xnp	###	
C 165	165	Aud	"GUATEMALA,15,R.2,N.13"	1	0	13 Oct 1623	np	0	0	np	np	xnp	###	
C 166	166	Aud	"GUATEMALA,15,R.2,N.14"	1	0	13 Oct 1623	np	0	0	np	np	xnp	###	
C 167	167	Aud	"GUATEMALA,15,R.2,N.15"	0	0	np	np	np	np	np	np	xnp	###	
C 168	168	Aud	"GUATEMALA,15,R.3,N.16"	0	0	np	np	np	np	np	np	xnp	###	
C 169	169	Aud	"GUATEMALA,15,R.3,N.17"	1	0	20 May 1624	np	0	0	np	np	xnp	###	
C 170	170	Aud	"GUATEMALA,15,R.3,N.18"	1	0	22 May 1624	np	0	0	np	np	xnp	###	
C 171	171	Aud	"GUATEMALA,15,R.3,N.19"	1	0	23 May 1624	np	0	0	np	np	xnp	###	
C 172	172	Aud	"GUATEMALA,15,R.3,N.20"	1	0	24 May 1624	np	0	0	np	np	xnp	###	
C 173	173	Aud	"GUATEMALA,15,R.3,N.21"	1	0	24 May 1624	np	0	0	np	np	xnp	###	
C 174	174	Aud	"GUATEMALA,15,R.3,N.22"	1	0	24 May 1624	np	0	0	np	np	xnp	###	
C 175	175	Aud	"GUATEMALA,15,R.3,N.23"	0	0	np	np	np	np	np	np	xnp	###	
C 176	176	Aud	"GUATEMALA,15,R.3,N.24"	1	0	12 Oct 1624	np	0	0	np	np	xnp	###	
C 177	177	Aud	"GUATEMALA,15,R.3,N.25"	0	0	np	np	np	np	np	np	xnp	###	
C 178	178	Aud	"GUATEMALA,15,R.3,N.26"	1	0	12 Oct 1624	np	0	1	3	xxx	"Inc piracy, defence in Pacific"	###	
C 179	179	Aud	"GUATEMALA,15,R.3,N.27"	1	0	13 Oct 1624	np	0	0	np	np	xnp	###	
C 180	180	Aud	"GUATEMALA,15,R.3,N.28"	1	0	13 Oct 1624	np	0	0	np	np	Dup of N.29	###	
C 181	181	Aud	"GUATEMALA,15,R.3,N.29"	1	0	15 Oct 1624	np	0	0	np	np	xnp	###	
C 182	182	Aud	"GUATEMALA,15,R.3,N.30"	0	0	np	np	np	np	np	np	Inc re foreigners	###	
C 183	183	Aud	"GUATEMALA,15,R.4,N.31"	0	0	np	np	np	np	np	np	Inc re defence	###	
C 184	184	Aud	"GUATEMALA,15,R.4,N.32"	0	0	np	np	np	np	np	np	xnp	###	
C 185	185	Aud	"GUATEMALA,15,R.4,N.33"	1	0	24 Jan 1625	np	0	0	np	np	xnp	###	
C 186	186	Aud	"GUATEMALA,15,R.4,N.34"	1	0	24 Jan 1625	np	0	0	np	np	"Inc re piracy, defence in Pacific"	###	
C 187	187	Aud	"GUATEMALA,15,R.4,N.35"	1	0	25 Jan 1625	np	0	0	np	np	xnp	###	
C 188	188	Aud	"GUATEMALA,15,R.4,N.36"	1	0	20 May 1625	np	0	0	np	np	xnp	###	
C 189	189	Aud	"GUATEMALA,15,R.4,N.37"	1	0	20 May 1625	np	0	0	np	np	xnp	###	
C 190	190	Aud	"GUATEMALA,15,R.4,N.38"	1	0	20 May 1625	np	0	0	np	np	xnp	###	
C 191	191	Aud	"GUATEMALA,15,R.4,N.39"	1	0	20 May 1625	np	0	0	np	np	xnp	###	
C 192	192	Aud	"GUATEMALA,15,R.4,N.40"	1	0	20 May 1625	np	0	0	np	np	xnp	###	
C 193	193	Aud	"GUATEMALA,15,R.4,N.41"	1	0	20 May 1625	np	0	1	1	xxx	xnp	###	
C 194	194	Aud	"GUATEMALA,15,R.4,N.42"	1	0	26 May 1625	np	0	0	np	np	xnp	###	
C 195	195	Aud	"GUATEMALA,15,R.4,N.43"	0	0	np	np	np	np	np	np	xnp	###	
C 196	196	Aud	"GUATEMALA,15,R.4,N.44"	0	0	np	np	np	np	np	np	xnp	###	
C 197	197	Aud	"GUATEMALA,15,R.4,N.45"	1	0	20 Sep 1625	np	0	0	np	np	xnp	###	
C 198	198	Aud	"GUATEMALA,15,R.4,N.46"	0	0	np	np	np	np	np	np	xnp	###	
C 199	199	Aud	"GUATEMALA,15,R.4,N.47"	0	0	np	np	np	np	np	np	xnp	###	
C 200	200	Aud	"GUATEMALA,15,R.4,N.48"	0	0	np	np	np	np	np	np	xnp	###	
C 201	201	Aud	"GUATEMALA,15,R.4,N.49"	1	0	20 Oct 1625	np	0	0	np	np	xnp	###	
C 202	202	Aud	"GUATEMALA,15,R.4,N.50"	1	0	23 Oct 1625	np	0	0	np	np	xnp	###	
C 203	203	Aud	"GUATEMALA,15,R.4,N.51"	0	0	np	np	np	np	np	np	xnp	###	
C 204	204	Aud	"GUATEMALA,15,R.4,N.52"	0	0	np	np	np	np	np	np	xnp	###	
C 205	205	Aud	"GUATEMALA,15,R.5,N.53"	1	0	6 Jun 1626	np	0	1	2	xxx	xnp	###	
C 206	206	Aud	"GUATEMALA,15,R.5,N.54"	1	0	8 Jun 1626	np	0	0	np	np	xnp	###	
C 207	207	Aud	"GUATEMALA,15,R.5,N.55"	0	0	np	np	np	np	np	np	xnp	###	
C 208	208	Aud	"GUATEMALA,15,R.5,N.56"	0	0	np	np	np	np	np	np	xnp	###	
C 209	209	Aud	"GUATEMALA,15,R.5,N.57"	1	0	29 Oct 1626	np	0	0	np	np	xnp	###	
C 210	210	Aud	"GUATEMALA,15,R.6,N.58"	1	0	6 Jun 1627	np	0	0	np	np	xnp	###	
C 211	211	Aud	"GUATEMALA,15,R.6,N.59"	1	0	8 Jun 1627	np	0	0	np	np	xnp	###	
C 212	212	Aud	"GUATEMALA,15,R.6,N.60"	1	0	9 Jun 1627	np	0	0	np	np	Inc re piracy in Sto Domingo	###	
C 213	213	Aud	"GUATEMALA,15,R.6,N.61"	1	0	11 Jun 1627	np	0	0	np	np	xnp	###	
C 214	214	Aud	"GUATEMALA,15,R.6,N.62"	1	0	22 Jun 1627	np	0	0	np	np	xnp	###	
C 215	215	Aud	"GUATEMALA,15,R.7,N.63"	1	0	20 Jun 1628	np	0	1	2	xxx	xnp	###	
C 216	216	Aud	"GUATEMALA,15,R.7,N.64"	0	0	np	np	np	np	np	np	xnp	###	
C 217	217	Aud	"GUATEMALA,15,R.7,N.65"	1	0	23 Oct 1628	np	0	1	4	xxx	"Inc re defence, possibly, in img 1 / Not complete"	###	
C 218	218	Aud	"GUATEMALA,15,R.8,N.66"	0	0	np	np	np	np	np	np	xnp	###	
C 219	219	Aud	"GUATEMALA,15,R.8,N.67"	0	0	np	np	np	np	np	np	xnp	###	
C 220	220	Aud	"GUATEMALA,15,R.8,N.68"	1	0	4 Jul 1629	np	0	0	np	np	xnp	###	
C 221	221	Aud	"GUATEMALA,15,R.8,N.69"	1	0	5 Jul 1629	np	0	1	1	xxx	xnp	###	
C 222	222	Aud	"GUATEMALA,15,R.9,N.70"	1	0	14 Jan 1630	np	0	1	1	xxx	xnp	###	
C 223	223	Aud	"GUATEMALA,15,R.9,N.71"	1	0	15 Jan 1630	np	0	0	np	np	xnp	###	
C 224	224	Aud	"GUATEMALA,15,R.9,N.72"	0	0	np	np	np	np	np	np	xnp	###	
C 225	225	Aud	"GUATEMALA,15,R.9,N.73"	1	0	26 Nov 1630	np	0	0	np	np	xnp	###	
C 226	226	Aud	"GUATEMALA,15,R.10,N.74"	0	0	np	np	np	np	np	np	xnp	###	
C 227	227	Aud	"GUATEMALA,15,R.10,N.75"	1	0	29 Aug 1631	np	0	0	np	np	xnp	###	
C 228	228	Aud	"GUATEMALA,15,R.11,N.76"	0	0	np	np	np	np	np	np	xnp	###	
C 229	229	Aud	"GUATEMALA,15,R.11,N.77"	0	0	np	np	np	np	np	np	xnp	###	
C 230	230	Aud	"GUATEMALA,15,R.12,N.78"	0	0	np	np	np	np	np	np	xnp	###	
C 231	231	Aud	"GUATEMALA,15,R.13,N.79"	1	1	28 Jan 1634	1 Feb 1635	0	0	np	np	"Inc re defence, possibly / Inc Gaut Pres méritos y servicios"	###	
C 232	232	Aud	"GUATEMALA,15,R.13,N.80"	1	0	28 Mar 1634	np	0	1	1	xxx	xnp	###	
C 233	233	Aud	"GUATEMALA,15,R.13,N.81"	1	0	6 Apr 1634	np	0	0	np	np	xnp	###	
C 234	234	Aud	"GUATEMALA,15,R.13,N.82"	1	0	12 Apr 1634	np	0	0	np	np	xnp	###	
C 235	235	Aud	"GUATEMALA,15,R.13,N.83"	1	0	7 Jun 1634	np	0	0	np	np	xnp	###	
C 236	236	Aud	"GUATEMALA,15,R.13,N.84"	0	0	np	np	np	np	np	np	xnp	###	
C 237	237	Aud	"GUATEMALA,15,R.13,N.85"	1	0	13 Aug 1634	np	0	0	np	np	xnp	###	
C 238	238	Aud	"GUATEMALA,15,R.13,N.86"	0	0	np	np	np	np	np	np	xnp	###	
C 239	239	Aud	"GUATEMALA,15,R.14,N.87"	0	0	np	np	np	np	np	np	xnp	###	
C 240	240	Aud	"GUATEMALA,15,R.14,N.88"	0	0	np	np	np	np	np	np	xnp	###	
C 241	241	Aud	"GUATEMALA,15,R.15,N.89"	1	0	9 Mar 1636	np	0	0	xnp	xnp	xnp	###	
C 242	242	Aud	"GUATEMALA,15,R.15,N.90"	1	0	9 Mar 1636	np	xxx	xxx	xnp	xnp	xnp	###	
C 243	243	Aud	"GUATEMALA,15,R.15,N.91"	0	0	np	np	np	np	np	np	xnp	###	
C 244	244	Aud	"GUATEMALA,15,R.15,N.92"	0	0	np	np	np	np	np	np	xnp	###	
C 245	245	Aud	"GUATEMALA,15,R.15,N.93"	0	0	np	np	np	np	np	np	xnp	###	
C 246	246	Aud	"GUATEMALA,15,R.16,N.94"	1	0	16 May 1637	np	xxx	xxx	xnp	xnp	xnp	###	
C 247	247	Aud	"GUATEMALA,15,R.16,N.95"	0	0	np	np	np	np	np	np	xnp	###	
C 248	248	Aud	"GUATEMALA,15,R.17,N.96"	1	0	sn Mar 1638	np	xxx	xxx	xnp	xnp	xnp	###	
C 249	249	Aud	"GUATEMALA,15,R.17,N.97"	1	0	26 May 1638	np	xxx	xxx	xnp	xnp	xnp	###	
C 250	250	Aud	"GUATEMALA,15,R.17,N.98"	1	0	26 May 1638	np	xxx	xxx	xnp	xnp	xnp	###	
C 251	251	Aud	"GUATEMALA,15,R.17,N.99"	1	0	26 May 1638	np	xxx	xxx	xnp	xnp	xnp	###	
C 252	252	Aud	"GUATEMALA,15,R.17,N.100"	1	0	26 May 1638	np	xxx	xxx	xnp	xnp	xnp	###	
C 253	253	Aud	"GUATEMALA,15,R.17,N.101"	0	0	np	np	np	np	np	np	xnp	###	
C 254	254	Aud	"GUATEMALA,16,R.1,N.1"	1	1	12 Jan 1639	27 Jul 1640	xxx	xxx	xnp	xnp	xnp	###	
C 255	255	Aud	"GUATEMALA,16,R.1,N.2"	1	0	14 Jan 1639	np	xxx	xxx	xnp	xnp	xnp	###	
C 256	256	Aud	"GUATEMALA,16,R.1,N.3"	1	0	15 Jan 1639	np	xxx	xxx	xnp	xnp	xnp	###	
C 257	257	Aud	"GUATEMALA,16,R.1,N.4"	1	0	15 Jan 1639	np	xxx	xxx	xnp	xnp	xnp	###	
C 258	258	Aud	"GUATEMALA,16,R.1,N.5"	0	0	np	np	np	np	np	np	xnp	###	
C 259	259	Aud	"GUATEMALA,16,R.1,N.6"	1	0	30 Jan 1639	np	xxx	xxx	xnp	xnp	xnp	###	
C 260	260	Aud	"GUATEMALA,16,R.1,N.7"	1	0	31 Jan 1639	np	xxx	xxx	xnp	xnp	xnp	###	
C 261	261	Aud	"GUATEMALA,16,R.1,N.8"	1	0	7 Feb 1639	np	xxx	xxx	xnp	xnp	xnp	###	
C 262	262	Aud	"GUATEMALA,16,R.1,N.9"	1	0	9 Feb 1639	np	xxx	xxx	xnp	xnp	xnp	###	
C 263	263	Aud	"GUATEMALA,16,R.1,N.10"	0	0	np	np	np	np	np	np	xnp	###	
C 264	264	Aud	"GUATEMALA,16,R.1,N.11"	0	0	np	np	np	np	np	np	xnp	###	
C 265	265	Aud	"GUATEMALA,16,R.2,N.12"	0	0	np	np	np	np	np	np	xnp	###	
C 266	266	Aud	"GUATEMALA,16,R.2,N.13"	0	0	np	np	np	np	np	np	See Cardona 106 / Inc re defence	###	
C 267	267	Aud	"GUATEMALA,16,R.2,N.14"	1	0	25 Jun 1640	np	xxx	xxx	xnp	xnp	xnp	###	
C 268	268	Aud	"GUATEMALA,16,R.2,N.15"	1	0	25 Jun 1640	np	xxx	xxx	xnp	xnp	xnp	###	
C 269	269	Aud	"GUATEMALA,16,R.2,N.16"	0	0	np	np	np	np	np	np	xnp	###	
C 270	270	Aud	"GUATEMALA,16,R.2,N.17"	1	0	26 Jun 1640	np	xxx	xxx	xnp	xnp	xnp	###	
C 271	271	Aud	"GUATEMALA,16,R.2,N.18"	0	0	np	np	np	np	np	np	xnp	###	
C 272	272	Aud	"GUATEMALA,16,R.3,N.19"	1	0	7 Jul 1642	np	xxx	xxx	xnp	xnp	xnp	###	
C 273	273	Aud	"GUATEMALA,16,R.3,N.20"	1	1	19 Dec 1642	3 Dec 1643	xxx	xxx	xnp	xnp	xnp	###	
C 274	274	Aud	"GUATEMALA,16,R.4,N.21"	1	0	25 Feb 1643	np	xxx	xxx	xnp	xnp	xnp	###	
C 275	275	Aud	"GUATEMALA,16,R.4,N.22"	1	0	26 Feb 1643	np	xxx	xxx	xnp	xnp	xnp	###	
C 276	276	Aud	"GUATEMALA,16,R.4,N.23"	1	0	28 Feb 1643	np	xxx	xxx	xnp	xnp	xnp	###	
C 277	277	Aud	"GUATEMALA,16,R.4,N.24"	1	0	2 Mar 1643	np	xxx	xxx	xnp	xnp	xnp	###	
C 278	278	Aud	"GUATEMALA,16,R.4,N.25"	0	0	np	np	np	np	np	np	xnp	###	
C 279	279	Aud	"GUATEMALA,16,R.4,N.26"	1	0	1 Oct 1643	np	xxx	xxx	xnp	xnp	xnp	###	
C 280	280	Aud	"GUATEMALA,16,R.4,N.27"	1	0	1 Oct 1643	np	xxx	xxx	xnp	xnp	xnp	###	
C 281	281	Aud	"GUATEMALA,16,R.4,N.28"	0	0	np	np	np	np	np	np	xnp	###	
C 282	282	Aud	"GUATEMALA,16,R.4,N.29"	1	0	12 Oct 1643	np	xxx	xxx	xnp	xnp	xnp	###	
C 283	283	Aud	"GUATEMALA,16,R.5,N.30"	0	0	np	np	np	np	np	np	xnp	###	
C 284	284	Aud	"GUATEMALA,16,R.5,N.31"	0	0	np	np	np	np	np	np	xnp	###	
C 285	285	Aud	"GUATEMALA,16,R.5,N.32"	0	0	np	np	np	np	np	np	xnp	###	
